[2016-02-28 16:49:41,993] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:49:41,993] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:49:41,993] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:49:41,993] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:49:41,993] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] File has been read
[2016-02-28 16:49:41,996] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:49:41,999] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 16:49:41,999] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:49:42,000] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 16:49:42,000] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:49:42,001] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 16:49:42,001] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:49:42,001] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 16:49:42,001] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:49:42,001] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 16:49:42,002] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:49:42,002] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 16:55:33,080] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 16:55:33,083] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:55:33,083] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:55:33,083] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:55:33,083] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:55:33,084] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:55:33,084] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:55:33,084] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] File has been read
[2016-02-28 16:55:33,123] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:55:33,123] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
